Search Type, Solution Length, Visited Cells, Path, Total Time
BFS, 9, 21, <1,a>, <2,b>, <6,*>, <5,a>, <9,b>, <10,c>, <14,a>, <15,*>, <16,c>,   6.379996193572879e-07
DFS, 9, 9, <1,a>, <2,b>, <3,c>, <7,a>, <6,*>, <10,c>, <11,a>, <12,b>, <16,c>,   1.4900433598086238e-07
DFS, 9, 9, <1,a>, <2,b>, <3,c>, <7,a>, <6,*>, <10,c>, <11,a>, <12,b>, <16,c>,   8  1.1900556273758411e-07
Uniform Cost, 9, 21, <1,a>, <2,b>, <3,c>, <7,a>, <6,*>, <10,c>, <11,a>, <12,b>, <16,c>,   1.0799703886732459e-07
